HttpVerb,RouteTemplate,ControllerFile,MethodName,Status,FrontendMethod,FrontendRouteLiteral,FrontendFile,Note
GET,api/clinic/visits/{visitId:guid}/labs,LabRequestsController.cs,GetByVisit,wired,GET,/api/clinic/visits/${visitId}/labs,Frontend/actions/labs/lab-requests.ts:13,matched method and normalized route in actions
DELETE,api/clinic/visits/{visitId:guid}/labs/{id:guid},LabRequestsController.cs,Delete,wired,DELETE,/api/clinic/visits/${visitId}/labs/${labId},Frontend/actions/labs/delete-lab-request.ts:13,matched method and normalized route in actions
GET,api/clinic/marketplace/orders,MarketplaceOrdersController.cs,GetOrders,wired,GET,/api/clinic/marketplace/orders,Frontend/actions/marketplace/orders.ts:31,matched method and normalized route in actions
GET,api/clinic/marketplace/orders/{orderId:guid},MarketplaceOrdersController.cs,GetOrderById,wired,GET,/api/clinic/marketplace/orders/${orderId},Frontend/actions/marketplace/orders.ts:45,matched method and normalized route in actions
POST,api/clinic/marketplace/orders/{orderId:guid}/status,MarketplaceOrdersController.cs,UpdateStatus,wired,POST,/api/clinic/marketplace/orders/${orderId}/status,Frontend/actions/marketplace/orders.ts:57,matched method and normalized route in actions
POST,api/clinic/media/clinic-logo,MediaController.cs,UploadClinicLogo,wired,POST,/api/clinic/media/clinic-logo,Frontend/actions/settings/upload-logo.ts:11,matched method and normalized route in actions
POST,api/clinic/media/clinic-image,MediaController.cs,UploadClinicImage,wired,POST,/api/clinic/media/clinic-image,Frontend/actions/settings/upload-logo.ts:29,matched method and normalized route in actions
POST,api/clinic/media/doctors/{doctorId:guid}/photo,MediaController.cs,UploadDoctorPhoto,wired,POST,/api/clinic/media/doctors/${doctorId}/photo,Frontend/actions/doctor/upload-photo.ts:12,matched method and normalized route in actions
POST,api/clinic/messages/send,MessagesController.cs,Send,wired,POST,/api/clinic/messages/send,Frontend/actions/messages/messages.ts:50,matched method and normalized route in actions
POST,api/clinic/messages/{id:guid}/retry,MessagesController.cs,Retry,wired,POST,/api/clinic/messages/${id}/retry,Frontend/actions/messages/messages.ts:67,matched method and normalized route in actions
GET,api/clinic/messages/{id:guid},MessagesController.cs,GetById,wired,GET,/api/clinic/messages/${id},Frontend/actions/messages/messages.ts:39,matched method and normalized route in actions
GET,api/clinic/messages,MessagesController.cs,GetAll,wired,GET,/api/clinic/messages,Frontend/actions/messages/messages.ts:28,matched method and normalized route in actions
