HttpVerb,RouteLiteral,NormalizedRoute,FrontendFile,Line
POST,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient-medical/documents.ts,100
POST,/api/clinic/patients/${patientId}/medical-documents/${documentId}/threads/${threadId}/replies,api/clinic/patients/{}/medical-documents/{}/threads/{}/replies,Frontend/actions/patient-medical/documents.ts,100
POST,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient-medical/documents.ts,123
POST,/api/clinic/patients/${patientId}/medical-documents/${documentId}/threads/${threadId}/close,api/clinic/patients/{}/medical-documents/{}/threads/{}/close,Frontend/actions/patient-medical/documents.ts,123
GET,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient-medical/documents.ts,143
GET,/api/clinic/patients/${patientId}/chronic-conditions,api/clinic/patients/{}/chronic-conditions,Frontend/actions/patient-medical/documents.ts,143
PUT,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient-medical/documents.ts,162
PUT,/api/clinic/patients/${patientId}/chronic-conditions,api/clinic/patients/{}/chronic-conditions,Frontend/actions/patient-medical/documents.ts,162
POST,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient/add-subprofile.ts,20
POST,/api/clinic/patients/${parentId}/profiles,api/clinic/patients/{}/profiles,Frontend/actions/patient/add-subprofile.ts,20
POST,/api/clinic/patients,api/clinic/patients,Frontend/actions/patient/createPatient.ts,9
DELETE,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient/delete-patient.ts,11
DELETE,/api/clinic/patients/${id},api/clinic/patients/{},Frontend/actions/patient/delete-patient.ts,11
GET,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient/get-chronic-conditions.ts,7
GET,/api/clinic/patients/${patientId}/chronic-conditions,api/clinic/patients/{}/chronic-conditions,Frontend/actions/patient/get-chronic-conditions.ts,7
GET,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient/get-patient-profile.ts,29
GET,/api/clinic/patients/${patientId},api/clinic/patients/{},Frontend/actions/patient/get-patient-profile.ts,29
GET,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient/get-patient-profile.ts,48
GET,/api/clinic/patients/${patientId}/visits?${queryParams.toString()},api/clinic/patients/{}/visits,Frontend/actions/patient/get-patient-profile.ts,48
GET,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient/get-patient-summary.ts,29
GET,/api/clinic/patients/${patientId}/summary,api/clinic/patients/{}/summary,Frontend/actions/patient/get-patient-summary.ts,29
GET,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient/getPatient.ts,11
